iter	Passed	Remaining
0	144	144368
1	147	73718
2	150	50091
3	153	38271
4	156	31194
5	159	26479
6	162	23107
7	165	20572
8	169	18612
9	171	17016
10	174	15717
11	177	14640
12	180	13719
13	183	12941
14	186	12254
15	189	11655
16	192	11131
17	195	10652
18	198	10233
19	201	9854
20	203	9508
21	206	9198
22	209	8905
23	212	8648
24	215	8400
25	218	8178
26	220	7964
27	223	7765
28	226	7596
29	229	7426
30	232	7267
31	235	7115
32	237	6973
33	240	6843
34	243	6716
35	246	6597
36	249	6482
37	251	6373
38	254	6274
39	257	6175
40	260	6084
41	262	5997
42	265	5910
43	268	5833
44	271	5759
45	274	5686
46	276	5615
47	279	5545
48	282	5482
49	285	5420
50	288	5359
51	290	5299
52	293	5242
53	296	5189
54	298	5136
55	301	5085
56	304	5036
57	307	4989
58	309	4940
59	311	4883
60	313	4827
61	315	4775
62	317	4724
63	319	4666
64	320	4611
65	322	4558
66	323	4506
67	324	4445
68	325	4397
69	327	4345
70	328	4295
71	329	4246
72	330	4198
73	331	4152
74	333	4107
75	334	4063
76	335	4019
77	336	3978
78	337	3937
79	338	3897
80	340	3858
81	341	3820
82	342	3783
83	343	3747
84	344	3707
85	345	3673
86	346	3636
87	347	3605
88	349	3574
89	350	3542
90	351	3512
91	352	3482
92	354	3452
93	355	3423
94	356	3395
95	357	3367
96	358	3340
97	360	3313
98	361	3287
99	362	3262
100	363	3237
101	364	3207
102	365	3183
103	366	3159
104	367	3135
105	369	3112
106	370	3089
107	371	3067
108	372	3045
109	373	3024
110	375	3005
111	376	2985
112	377	2965
113	378	2945
114	380	2925
115	381	2904
116	382	2885
117	383	2867
118	384	2847
119	385	2829
120	387	2811
121	388	2794
122	389	2773
123	390	2756
124	391	2739
125	392	2722
126	393	2706
127	394	2687
128	395	2671
129	396	2655
130	398	2640
131	399	2625
132	400	2610
133	401	2595
134	402	2581
135	404	2566
136	405	2552
137	406	2537
138	407	2523
139	408	2509
140	409	2496
141	410	2482
142	412	2469
143	413	2456
144	414	2443
145	415	2431
146	416	2419
147	418	2406
148	419	2394
149	420	2382
150	421	2371
151	422	2359
152	424	2347
153	425	2336
154	426	2325
155	427	2314
156	428	2303
157	430	2293
158	431	2282
159	432	2271
160	433	2261
161	435	2250
162	436	2240
163	437	2229
164	438	2219
165	439	2209
166	440	2199
167	442	2189
168	443	2179
169	444	2170
170	445	2160
171	446	2151
172	448	2141
173	449	2132
174	450	2123
175	451	2114
176	452	2105
177	453	2096
178	455	2087
179	456	2078
180	456	2067
181	458	2059
182	459	2050
183	460	2042
184	461	2034
185	462	2025
186	464	2018
187	465	2010
188	466	2001
189	467	1993
190	468	1985
191	470	1978
192	471	1970
193	472	1962
194	473	1955
195	474	1947
196	475	1940
197	477	1932
198	478	1925
199	479	1917
200	480	1910
201	481	1903
202	482	1895
203	484	1888
204	485	1881
205	486	1874
206	487	1868
207	488	1861
208	489	1854
209	491	1847
210	492	1841
211	493	1834
212	494	1827
213	495	1821
214	497	1814
215	498	1808
216	499	1802
217	500	1795
218	501	1789
219	503	1783
220	504	1777
221	505	1771
222	506	1765
223	507	1759
224	508	1752
225	510	1746
226	511	1740
227	512	1734
228	513	1729
229	514	1723
230	515	1717
231	517	1711
232	518	1706
233	519	1700
234	520	1695
235	521	1689
236	522	1683
237	524	1678
238	525	1672
239	526	1667
240	527	1661
241	528	1656
242	530	1651
243	531	1645
244	532	1640
245	533	1635
246	534	1630
247	535	1624
248	537	1619
249	538	1614
250	539	1609
251	540	1604
252	541	1599
253	542	1594
254	543	1589
255	545	1584
256	546	1579
257	547	1574
258	548	1569
259	549	1564
260	551	1560
261	552	1555
262	553	1550
263	554	1546
264	555	1541
265	556	1536
266	558	1532
267	559	1527
268	560	1522
269	561	1518
270	562	1513
271	563	1509
272	565	1504
273	566	1500
274	567	1495
275	568	1491
276	569	1487
277	570	1482
278	572	1478
279	573	1474
280	574	1470
281	575	1466
282	576	1461
283	578	1457
284	579	1453
285	580	1449
286	581	1444
287	582	1440
288	583	1436
289	585	1432
290	586	1428
291	587	1424
292	588	1420
293	589	1416
294	591	1412
295	592	1408
296	593	1404
297	594	1400
298	595	1396
299	596	1392
300	598	1389
301	599	1385
302	600	1381
303	601	1377
304	602	1373
305	604	1370
306	605	1366
307	606	1362
308	607	1358
309	608	1354
310	609	1351
311	611	1347
312	612	1344
313	613	1340
314	614	1336
315	615	1332
316	616	1329
317	618	1325
318	619	1322
319	620	1318
320	621	1314
321	622	1311
322	623	1307
323	625	1304
324	626	1300
325	627	1297
326	628	1293
327	629	1290
328	630	1286
329	632	1283
330	633	1280
331	634	1276
332	635	1273
333	636	1269
334	638	1266
335	639	1263
336	640	1259
337	641	1256
338	642	1253
339	643	1250
340	645	1247
341	646	1243
342	647	1240
343	648	1237
344	650	1234
345	651	1231
346	652	1227
347	653	1224
348	654	1221
349	655	1218
350	656	1214
351	658	1211
352	659	1208
353	660	1205
354	661	1202
355	662	1199
356	664	1196
357	665	1193
358	666	1189
359	667	1186
360	668	1183
361	669	1180
362	671	1177
363	672	1174
364	673	1171
365	674	1168
366	675	1165
367	677	1162
368	678	1159
369	679	1156
370	680	1153
371	681	1151
372	682	1148
373	684	1145
374	685	1142
375	686	1139
376	687	1136
377	688	1133
378	690	1130
379	691	1127
380	692	1124
381	693	1122
382	694	1119
383	695	1116
384	697	1113
385	698	1110
386	699	1107
387	700	1105
388	701	1102
389	703	1099
390	704	1097
391	705	1094
392	706	1091
393	707	1088
394	709	1086
395	710	1083
396	711	1080
397	712	1077
398	713	1075
399	715	1072
400	716	1069
401	717	1067
402	718	1064
403	719	1062
404	721	1059
405	722	1056
406	723	1054
407	724	1051
408	725	1048
409	727	1046
410	728	1043
411	729	1041
412	730	1038
413	732	1036
414	733	1033
415	734	1031
416	735	1028
417	736	1026
418	738	1023
419	739	1021
420	740	1018
421	741	1015
422	743	1013
423	744	1011
424	745	1008
425	746	1006
426	748	1003
427	749	1001
428	750	998
429	751	996
430	752	993
431	753	991
432	755	988
433	756	986
434	757	983
435	758	981
436	759	978
437	760	976
438	762	973
439	763	971
440	764	968
441	765	966
442	766	964
443	767	961
444	769	959
445	770	956
446	771	954
447	772	952
448	774	950
449	775	947
450	776	945
451	777	943
452	779	940
453	780	938
454	781	936
455	782	933
456	783	931
457	785	929
458	786	926
459	787	924
460	788	922
461	789	919
462	791	917
463	792	915
464	793	912
465	794	910
466	795	908
467	796	905
468	798	903
469	799	901
470	800	899
471	801	897
472	803	894
473	804	892
474	805	890
475	806	888
476	807	885
477	809	883
478	810	881
479	811	878
480	812	876
481	813	874
482	814	872
483	816	870
484	817	867
485	818	865
486	819	863
487	820	861
488	822	859
489	823	856
490	824	854
491	825	852
492	826	850
493	828	848
494	829	846
495	830	843
496	831	841
497	832	839
498	833	837
499	835	835
500	836	833
501	837	830
502	838	828
503	839	826
504	841	824
505	842	822
506	843	820
507	844	817
508	845	815
509	846	813
510	848	811
511	849	809
512	850	807
513	851	805
514	853	803
515	854	801
516	855	799
517	856	797
518	857	795
519	859	792
520	860	790
521	861	788
522	862	786
523	863	784
524	865	782
525	866	780
526	867	778
527	868	776
528	870	774
529	871	772
530	872	770
531	873	768
532	874	766
533	876	764
534	877	762
535	878	760
536	879	758
537	880	756
538	882	754
539	883	752
540	884	750
541	885	748
542	886	746
543	887	744
544	888	742
545	890	740
546	891	738
547	892	736
548	893	734
549	894	732
550	896	730
551	897	728
552	898	726
553	899	724
554	900	722
555	902	720
556	903	718
557	904	716
558	905	714
559	906	712
560	907	710
561	909	708
562	910	706
563	911	704
564	912	702
565	913	700
566	914	698
567	916	696
568	917	694
569	918	692
570	919	690
571	920	689
572	921	687
573	923	685
574	924	683
575	925	681
576	926	679
577	927	677
578	929	675
579	930	673
580	931	671
581	932	669
582	933	667
583	934	665
584	936	664
585	937	662
586	938	660
587	939	658
588	940	656
589	941	654
590	943	652
591	944	650
592	945	648
593	946	647
594	947	645
595	949	643
596	950	641
597	951	639
598	952	637
599	953	635
600	955	634
601	956	632
602	957	630
603	958	628
604	959	626
605	960	624
606	961	622
607	963	621
608	964	619
609	966	617
610	967	615
611	968	613
612	969	612
613	970	610
614	971	608
615	973	606
616	974	604
617	975	602
618	976	601
619	977	599
620	979	597
621	980	595
622	981	593
623	982	592
624	983	590
625	985	588
626	985	586
627	987	584
628	988	582
629	989	581
630	990	579
631	991	577
632	993	575
633	994	574
634	995	572
635	996	570
636	997	568
637	999	566
638	1000	565
639	1001	563
640	1002	561
641	1004	559
642	1005	558
643	1006	556
644	1007	554
645	1009	553
646	1010	551
647	1011	549
648	1013	548
649	1014	546
650	1015	544
651	1017	542
652	1018	541
653	1019	539
654	1021	537
655	1022	536
656	1023	534
657	1025	532
658	1026	531
659	1027	529
660	1028	527
661	1030	525
662	1031	524
663	1032	522
664	1033	520
665	1035	519
666	1036	517
667	1037	515
668	1038	513
669	1040	512
670	1041	510
671	1042	509
672	1044	507
673	1045	505
674	1047	504
675	1048	502
676	1049	500
677	1051	499
678	1052	497
679	1053	495
680	1055	494
681	1056	492
682	1057	490
683	1058	489
684	1059	487
685	1061	485
686	1062	484
687	1063	482
688	1064	480
689	1066	478
690	1067	477
691	1068	475
692	1069	473
693	1071	472
694	1072	470
695	1073	468
696	1074	467
697	1076	465
698	1077	463
699	1078	462
700	1079	460
701	1080	458
702	1082	457
703	1083	455
704	1084	453
705	1085	452
706	1086	450
707	1087	448
708	1089	447
709	1090	445
710	1091	443
711	1092	442
712	1094	440
713	1095	438
714	1097	437
715	1098	435
716	1099	434
717	1101	432
718	1102	430
719	1103	429
720	1105	427
721	1106	426
722	1108	424
723	1109	422
724	1110	421
725	1112	419
726	1113	418
727	1115	416
728	1116	415
729	1117	413
730	1119	411
731	1120	410
732	1121	408
733	1123	407
734	1124	405
735	1125	403
736	1127	402
737	1128	400
738	1129	398
739	1131	397
740	1133	396
741	1134	394
742	1136	393
743	1137	391
744	1139	389
745	1140	388
746	1142	386
747	1143	385
748	1144	383
749	1146	382
750	1147	380
751	1148	378
752	1150	377
753	1151	375
754	1152	374
755	1154	372
756	1155	370
757	1156	369
758	1158	367
759	1159	366
760	1161	364
761	1162	363
762	1163	361
763	1165	359
764	1166	358
765	1168	356
766	1169	355
767	1170	353
768	1171	352
769	1173	350
770	1174	348
771	1176	347
772	1177	345
773	1179	344
774	1180	342
775	1181	341
776	1183	339
777	1184	337
778	1185	336
779	1187	334
780	1188	333
781	1189	331
782	1190	330
783	1192	328
784	1193	326
785	1194	325
786	1196	323
787	1197	322
788	1198	320
789	1200	319
790	1201	317
791	1202	315
792	1203	314
793	1204	312
794	1206	310
795	1207	309
796	1208	307
797	1209	306
798	1210	304
799	1211	302
800	1213	301
801	1214	299
802	1215	298
803	1217	296
804	1218	295
805	1219	293
806	1220	291
807	1221	290
808	1223	288
809	1224	287
810	1225	285
811	1226	283
812	1227	282
813	1228	280
814	1230	279
815	1231	277
816	1232	276
817	1233	274
818	1234	272
819	1235	271
820	1236	269
821	1238	268
822	1239	266
823	1240	264
824	1241	263
825	1242	261
826	1243	260
827	1245	258
828	1246	257
829	1247	255
830	1248	253
831	1249	252
832	1251	250
833	1252	249
834	1253	247
835	1254	246
836	1255	244
837	1257	243
838	1258	241
839	1259	239
840	1260	238
841	1261	236
842	1263	235
843	1264	233
844	1265	232
845	1266	230
846	1267	229
847	1268	227
848	1270	225
849	1271	224
850	1272	222
851	1273	221
852	1274	219
853	1276	218
854	1277	216
855	1278	215
856	1280	213
857	1281	212
858	1282	210
859	1284	209
860	1286	207
861	1287	206
862	1288	204
863	1289	202
864	1290	201
865	1291	199
866	1293	198
867	1294	196
868	1295	195
869	1297	193
870	1298	192
871	1299	190
872	1301	189
873	1302	187
874	1303	186
875	1304	184
876	1305	183
877	1307	181
878	1308	180
879	1309	178
880	1310	177
881	1311	175
882	1312	173
883	1314	172
884	1315	170
885	1316	169
886	1317	167
887	1318	166
888	1319	164
889	1321	163
890	1322	161
891	1323	160
892	1324	158
893	1326	157
894	1327	155
895	1328	154
896	1329	152
897	1330	151
898	1331	149
899	1333	148
900	1334	146
901	1335	145
902	1336	143
903	1337	142
904	1339	140
905	1340	139
906	1341	137
907	1342	136
908	1343	134
909	1345	133
910	1346	131
911	1347	130
912	1348	128
913	1349	127
914	1351	125
915	1352	124
916	1353	122
917	1354	121
918	1355	119
919	1357	118
920	1358	116
921	1359	115
922	1360	113
923	1361	112
924	1362	110
925	1364	109
926	1365	107
927	1366	106
928	1367	104
929	1368	103
930	1370	101
931	1371	100
932	1372	98
933	1373	97
934	1374	95
935	1375	94
936	1376	92
937	1378	91
938	1379	89
939	1380	88
940	1381	86
941	1382	85
942	1383	83
943	1385	82
944	1386	80
945	1387	79
946	1388	77
947	1389	76
948	1390	74
949	1392	73
950	1393	71
951	1394	70
952	1395	68
953	1396	67
954	1397	65
955	1399	64
956	1400	62
957	1401	61
958	1402	59
959	1403	58
960	1405	57
961	1406	55
962	1407	54
963	1408	52
964	1409	51
965	1410	49
966	1412	48
967	1413	46
968	1414	45
969	1415	43
970	1416	42
971	1417	40
972	1419	39
973	1420	37
974	1421	36
975	1422	34
976	1423	33
977	1425	32
978	1426	30
979	1427	29
980	1428	27
981	1429	26
982	1430	24
983	1432	23
984	1433	21
985	1434	20
986	1435	18
987	1436	17
988	1437	15
989	1439	14
990	1440	13
991	1441	11
992	1442	10
993	1443	8
994	1444	7
995	1446	5
996	1447	4
997	1448	2
998	1449	1
999	1450	0
