iter	Passed	Remaining
0	147	147488
1	151	75366
2	154	51250
3	157	39154
4	161	32221
5	165	27377
6	168	23925
7	171	21291
8	174	19266
9	177	17618
10	181	16301
11	184	15189
12	187	14252
13	190	13435
14	194	12750
15	197	12147
16	200	11603
17	203	11111
18	206	10667
19	209	10285
20	213	9936
21	216	9631
22	219	9331
23	223	9069
24	226	8815
25	228	8578
26	231	8359
27	234	8154
28	238	7971
29	241	7793
30	244	7643
31	247	7489
32	250	7346
33	254	7217
34	257	7087
35	260	6964
36	263	6849
37	266	6744
38	269	6640
39	272	6540
40	275	6449
41	278	6363
42	282	6285
43	285	6199
44	288	6119
45	291	6045
46	294	5976
47	297	5908
48	300	5830
49	302	5752
50	304	5673
51	306	5594
52	308	5513
53	310	5434
54	311	5356
55	313	5282
56	314	5207
57	316	5137
58	317	5066
59	319	4997
60	320	4929
61	321	4863
62	322	4799
63	323	4735
64	324	4673
65	325	4612
66	327	4553
67	328	4497
68	329	4442
69	330	4390
70	331	4338
71	332	4288
72	333	4240
73	335	4193
74	336	4146
75	337	4102
76	338	4059
77	339	4015
78	340	3973
79	341	3932
80	343	3891
81	344	3852
82	344	3809
83	346	3775
84	347	3740
85	348	3704
86	349	3670
87	350	3636
88	352	3603
89	353	3572
90	354	3540
91	355	3509
92	356	3479
93	357	3449
94	359	3420
95	360	3392
96	361	3364
97	362	3336
98	363	3309
99	364	3282
100	365	3256
101	366	3230
102	368	3207
103	369	3182
104	370	3157
105	371	3134
106	372	3111
107	373	3088
108	375	3066
109	376	3045
110	377	3023
111	378	3001
112	379	2980
113	380	2959
114	381	2939
115	383	2921
116	384	2899
117	385	2880
118	386	2861
119	387	2842
120	388	2824
121	389	2805
122	391	2789
123	392	2772
124	393	2754
125	394	2737
126	395	2719
127	396	2702
128	398	2689
129	399	2673
130	400	2657
131	401	2642
132	402	2626
133	404	2611
134	405	2598
135	407	2587
136	408	2572
137	409	2559
138	410	2544
139	411	2530
140	413	2518
